,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_name,artist_name,duration_ms,popularity,score
0,0.763,0.785,10,-6.472,0.23,0.0146,0.0113,0.0817,0.506,93.857,"Shook Ones, Pt. II",Mobb Deep,53,325506,10
1,0.843,0.806,4,-5.946,0.269,0.143,0,0.0771,0.613,94.948,Ms. Jackson,Outkast,87,270506,10
2,0.479,0.549,11,-10.551,0.373,0.57,0.0235,0.127,0.576,180.985,"C.R.E.A.M. (Cash Rules Everything Around Me) (feat. Method Man, Raekwon, Inspectah Deck & Buddha Monk)",Wu-Tang Clan,78,252186,10
3,0.82,0.809,4,-6.759,0.251,0.443,0.00175,0.0613,0.737,83.011,Break Ya Neck,Busta Rhymes,74,231240,7
4,0.879,0.56,10,-7.71,0.244,0.0397,8.86E-06,0.052,0.53,93.958,If I Ruled the World (Imagine That) (feat. Lauryn Hill),Nas,47,282946,10
5,0.881,0.361,11,-14.728,0.237,0.0502,0.00458,0.246,0.799,96.43,Check the Rhime,A Tribe Called Quest,68,216693,7
6,0.535,0.505,2,-8.926,0.245,0.0393,0,0.0923,0.495,99.935,Doo Wop (That Thing),Ms. Lauryn Hill,77,320266,4
7,0.897,0.611,11,-10.489,0.211,0.0291,0.186,0.0894,0.769,102.304,Insane in the Brain,Cypress Hill,79,208266,9
8,0.725,0.64,5,-7.905,0.332,0.0281,0,0.099,0.915,166.028,"So Fresh, So Clean",Outkast,75,240026,6
9,0.813,0.704,11,-5.078,0.268,0.125,1.36E-06,0.237,0.238,94.777,Survival of the Fittest,Mobb Deep,49,224533,10
10,0.633,0.539,5,-7.187,0.37,0.00807,2.73E-05,0.36,0.49,178.387,The Message,Nas,47,234200,10
11,0.801,0.91,2,-6.566,0.225,0.00239,0.000891,0.0737,0.805,87.277,Ambitionz Az A Ridah,2Pac,82,278386,10
12,0.607,0.422,10,-13.364,0.499,0.209,0,0.0839,0.563,130.47,Ready or Not,Fugees,75,226986,4
13,0.658,0.771,4,-4.318,0.271,0.016,0,0.654,0.516,85.949,I Know What You Want (feat. Flipmode Squad),Busta Rhymes,67,324306,8
14,0.918,0.734,11,-2.832,0.269,0.0296,8.01E-06,0.191,0.608,97.044,ATLiens,Outkast,72,230693,4
15,0.816,0.775,11,-3.323,0.234,0.16,0.00031,0.0543,0.527,93.431,Still D.R.E.,Dr. Dre,91,270586,10
16,0.848,0.666,0,-6.547,0.274,0.173,0.000699,0.129,0.744,96.662,Can I Kick It?,A Tribe Called Quest,74,251573,9
17,0.886,0.512,10,-11.825,0.237,0.207,0,0.0991,0.454,93.997,Mind Playing Tricks on Me,Geto Boys,72,308733,7
18,0.521,0.625,1,-7.47,0.067,0.0301,0,0.121,0.136,101.019,Get Low,Lil Jon & The East Side Boyz,78,334066,1
19,0.884,0.679,10,-5.857,0.282,0.0957,0.00209,0.0289,0.591,76.993,Hard Knock Life (Ghetto Anthem),JAY-Z,71,238466,1
20,0.964,0.889,11,-5.169,0.147,0.0591,0,0.166,0.552,121.144,It's Like That,Run–D.M.C.,57,290280,5
21,0.699,0.793,1,-4.856,0.268,0.00514,2.75E-06,0.7,0.929,94.138,Ante Up (Robbin Hoodz Theory),M.O.P.,61,248693,9
22,0.872,0.723,1,-5.968,0.247,0.0293,0,0.327,0.843,93.279,All Eyez On Me (ft. Big Syke),2Pac,81,307773,10
23,0.867,0.796,6,-4.73,0.0693,0.202,0,0.0838,0.776,92.766,Ruff Ryders' Anthem - Re-Recorded,DMX,64,231040,7
24,0.787,0.72,7,-7.569,0.313,0.223,0,0.633,0.521,121.003,"Gravel Pit (feat. RZA, Method Man, Ghostface Killah, Raekwon & U-God)",Wu-Tang Clan,63,253466,0
25,0.812,0.714,11,-8.045,0.306,0.00806,0,0.179,0.69,94.612,Nuthin But A G'Thang,Snoop Dogg,69,235199,8
26,0.881,0.874,6,-4.505,0.139,0.0175,1.14E-06,0.154,0.858,107.891,Gettin' Jiggy Wit It,Will Smith,75,227933,0
27,0.826,0.566,10,-10.747,0.311,0.199,0,0.356,0.655,99.131,"Wu-Tang Clan Ain't Nuthing ta F' Wit (feat. RZA, Inspectah Deck & Method Man)",Wu-Tang Clan,70,216133,1
28,0.922,0.909,10,-2.429,0.27,0.0281,0,0.0856,0.309,95.295,The Next Episode,Dr. Dre,88,161506,10
29,0.875,0.658,0,-3.641,0.359,0.275,0,0.122,0.661,92.038,Hell on Earth (Front Lines),Mobb Deep,70,274093,8
30,0.794,0.95,1,-8.78,0.294,0.124,7.71E-05,0.133,0.324,94.984,Sound of da Police,KRS-One,68,258506,2
31,0.797,0.779,7,-4.719,0.141,0.319,0.000142,0.266,0.82,82.37,It Was A Good Day,Ice Cube,76,260079,9
32,0.665,0.91,6,-4.682,0.223,0.0394,0,0.227,0.887,84.099,N.Y. State of Mind,Nas,73,293973,10
33,0.477,0.846,3,-7.356,0.319,0.000475,0.000421,0.152,0.862,203.925,How I Could Just Kill a Man,Cypress Hill,42,248316,1
34,0.9,0.619,4,-6.518,0.312,0.203,0.00156,0.0647,0.864,94.121,Still Not a Player (feat. Joe) - Radio Version,Big Pun,74,236800,10
35,0.898,0.92,5,-7.859,0.0638,0.0713,5.55E-05,0.0909,0.875,114.343,Me Myself And I,De La Soul,46,224693,0
36,0.727,0.974,4,-2.261,0.0664,0.103,0.000532,0.174,0.965,79.526,Hey Ya!,Outkast,85,235213,3
37,0.965,0.857,11,-8.458,0.17,0.00131,0,0.0726,0.951,127.656,It's Tricky,Run–D.M.C.,74,183760,3
38,0.803,0.578,1,-13.264,0.182,0.0103,0.812,0.199,0.499,92.175,Hits from the Bong,Cypress Hill,71,160866,2
39,0.935,0.623,9,-4.132,0.25,0.113,0,0.0826,0.845,96.935,X,Xzibit,42,247000,4
40,0.813,0.515,10,-8.226,0.276,0.27,4.01E-06,0.112,0.26,89.781,"Shook Ones, Part I - Original Version",Mobb Deep,55,254640,8
41,0.737,0.769,7,-5.225,0.0529,0.000816,5.06E-05,0.315,0.705,96.804,Who Am I (What's My Name?),Snoop Dogg,63,248186,2
42,0.746,0.978,9,-5.324,0.0978,0.0555,4.11E-05,0.026,0.653,153.809,B.O.B. - Bombs Over Baghdad,Outkast,66,304226,2
43,0.817,0.552,8,-10.8,0.385,0.0318,7.01E-06,0.826,0.808,102.011,"Protect Ya Neck (feat. RZA, Method Man, Inspectah Deck, Raekwon, U-God, Ol' Dirty Bastard, Ghostface Killah & GZA)",Wu-Tang Clan,71,291066,5
44,0.773,0.947,8,-5.824,0.249,0.117,0,0.44,0.464,102.146,Straight Outta Compton - Extended Mix / Edit,N.W.A.,58,266193,8
45,0.849,0.476,0,-10.479,0.445,0.0965,0,0.105,0.48,83.21,Cell Therapy,Goodie Mob,62,277133,10
46,0.59,0.672,1,-11.792,0.412,0.125,1.04E-06,0.147,0.688,206.247,93 'Til Infinity,Souls Of Mischief,74,286440,1
47,0.729,0.605,11,-8.715,0.372,0.2,0,0.62,0.715,90.95,Street Dreams,Nas,41,279893,7
48,0.889,0.818,9,-4.639,0.253,0.47,0,0.179,0.782,96.063,Juicy - 2005 Remaster,The Notorious B.I.G.,80,302760,6
49,0.7,0.476,9,-9.195,0.0514,0.000164,0.000796,0.0823,0.323,201.757,Back to the Hotel,N2DEEP,41,304360,10
50,0.681,0.505,1,-11.709,0.138,0.137,0,0.234,0.399,89.953,Fu-Gee-La,Fugees,69,260066,0
51,0.711,0.62,11,-10.174,0.212,0.0175,0,0.134,0.805,179.817,Put It On,Big L,67,217626,5
52,0.792,0.701,6,-7.198,0.283,0.105,0,0.761,0.251,103.89,Rosa Parks,Outkast,69,324373,0
53,0.854,0.71,4,-6.32,0.0795,0.0113,9.06E-05,0.166,0.818,106.893,Jump Around,House Of Pain,79,214946,6
54,0.818,0.653,1,-8.396,0.204,0.0335,5.46E-06,0.22,0.533,99.931,Ghetto Supastar (That is What You Are) (feat. Ol' Dirty Bastard & Mýa),Pras,72,261133,0
55,0.725,0.737,4,-7.453,0.324,0.000633,0.00417,0.109,0.219,77.162,Hip-Hop,Dead Prez,65,214066,1
56,0.749,0.745,2,-10.625,0.164,0.000501,0.00403,0.333,0.481,101.972,Jump,Kris Kross,71,195106,2
57,0.832,0.588,11,-10.88,0.248,0.4,0,0.104,0.716,95.309,Regulate,Warren G,53,250868,7
58,0.794,0.627,11,-9.431,0.36,0.233,0,0.35,0.518,87.554,"Bring Da Ruckus (feat. RZA, Ghostface Killah, Raekwon & Inspectah Deck)",Wu-Tang Clan,66,251466,7
59,0.633,0.764,0,-7.212,0.323,0.32,3.40E-06,0.234,0.522,94.971,Twinz (Deep Cover 98) (feat. Fat Joe),Big Pun,72,228173,6
60,0.924,0.74,8,-1.299,0.0774,0.0827,0,0.163,0.621,133.974,Forgot About Dre,Dr. Dre,84,222293,5
61,0.903,0.519,7,-10.109,0.307,0.0286,0.000894,0.328,0.596,101.561,"Method Man (feat. Method Man, Raekwon, GZA, RZA & Ghostface Killah)",Wu-Tang Clan,64,350560,4
62,0.925,0.741,9,-5.827,0.315,0.0653,0,0.044,0.654,93.04,Tipsy - Club Mix,J-Kwon,64,247106,3
63,0.866,0.534,11,-9.201,0.229,0.184,0.266,0.0929,0.841,98.243,Electric Relaxation,A Tribe Called Quest,71,226133,2
64,0.85,0.837,6,-6.37,0.291,0.00956,0,0.0772,0.737,98.694,Fuck Tha Police,N.W.A.,63,343373,10
65,0.893,0.514,11,-5.08,0.283,0.18,0,0.0596,0.787,95.848,"Alkaholik (feat. Erik Sermon, J Ro & Tash)",Xzibit,64,219160,5
66,0.783,0.596,1,-6.398,0.335,0.0567,0,0.582,0.521,94.634,Give Up the Goods (Just Step) (feat. Big Noyd),Mobb Deep,43,243133,8
67,0.869,0.68,1,-6.233,0.318,0.0416,1.12E-06,0.0914,0.815,85.519,My Name Is,Eminem,79,268400,9
68,0.736,0.834,1,-3.052,0.0969,0.077,0,0.407,0.234,100.979,Party Up (Up in Here) - Re-Recorded,DMX,54,297040,2
69,0.772,0.586,10,-10.434,0.301,0.0234,0.000722,0.0562,0.643,85.068,Elevators (Me & You),Outkast,63,265200,0
70,0.776,0.968,4,-4.25,0.0914,0.00147,0,0.204,0.667,97.765,O.P.P. (Re-Recorded),Naughty By Nature,59,250173,9
71,0.8,0.723,2,-9.719,0.158,0.00228,0,0.26,0.651,111.593,It Takes Two,Rob Base & DJ EZ Rock,63,300640,0
72,0.873,0.62,7,-8.812,0.293,0.0113,0.000121,0.0925,0.574,105.332,Peter Piper,Run–D.M.C.,56,204133,3
73,0.902,0.743,7,-11.136,0.229,0.000755,0.00104,0.0555,0.423,98.944,Paid In Full,Eric B. & Rakim,51,228266,1
74,0.678,0.794,10,-6.186,0.14,0.274,1.68E-06,0.124,0.54,87.374,The World Is Yours,Nas,69,290573,6
75,0.746,0.697,7,-7.104,0.233,0.0105,0,0.0459,0.452,96.716,Spaghetti Junction,Outkast,49,237160,5
76,0.77,0.644,2,-4.921,0.105,0.0602,0,0.287,0.619,105.047,Freek-a-Leek,Petey Pablo,40,235973,0
77,0.647,0.514,8,-10.05,0.0593,0.0655,0,0.398,0.386,79.975,Gangsta's Paradise,Coolio,89,240693,11
78,0.614,0.6,9,-11.641,0.444,0.203,0,0.0823,0.74,173.985,The What,Method Man,43,238266,6
79,0.773,0.442,11,-11.326,0.42,0.066,0,0.311,0.852,88.84,Keep It Thoro - Main,Prodigy,37,185573,6
80,0.783,0.633,11,-6.983,0.291,0.0969,0.000994,0.154,0.913,100.428,Watch Out Now,The Beatnuts,54,174800,5
81,0.878,0.65,11,-8.08,0.252,0.0178,0,0.0408,0.101,92.03,Jazzy Belle,Outkast,61,251666,1
82,0.844,0.609,10,-10.675,0.217,0.0074,0,0.563,0.725,91.116,People Everyday - Metamorphosis Mix,Arrested Development,57,296333,0
83,0.812,0.6,7,-9.414,0.254,0.00308,8.38E-06,0.173,0.555,97.338,Award Tour,A Tribe Called Quest,67,226440,2
84,0.697,0.681,4,-5.084,0.219,0.0598,0,0.301,0.82,77.847,Int'l Players Anthem (I Choose You) (feat. Outkast),UGK,57,258986,1
85,0.809,0.455,4,-13.11,0.149,0.066,0.00124,0.0734,0.688,92.426,Lost in Thought,Funkdoobiest,59,219466,5
86,0.6,0.706,10,-7.899,0.361,0.209,0,0.125,0.58,173.926,I Got 5 On It,Luniz,78,253533,4
87,0.803,0.806,0,-7.805,0.265,0.00761,0.00544,0.101,0.624,94.994,Step into a World (Rapture's Delight),KRS-One,62,289906,6
88,0.753,0.724,8,-6.524,0.331,0.37,0.00124,0.431,0.697,102.988,Iron Maiden,Ghostface Killah,56,286653,1
89,0.687,0.796,7,-6.713,0.168,0.0989,2.31E-05,0.398,0.37,94.623,Gin and Juice,Snoop Dogg,62,211866,5
90,0.88,0.558,9,-10.426,0.217,0.121,3.35E-05,0.119,0.597,89.024,I'm a Player - Street Version,Too $hort,46,361266,0
91,0.795,0.6,2,-14.004,0.341,0.112,0.000171,0.111,0.633,101.78,Scenario - LP Mix,A Tribe Called Quest,64,250133,0
92,0.832,0.922,10,-3.076,0.159,0.172,0,0.0575,0.624,82.766,On My Block,Scarface,53,214533,0
93,0.855,0.798,1,-4.018,0.237,0.0101,0.000615,0.628,0.855,90.429,MC's Act Like They Don't Know,KRS-One,60,295933,7
94,0.854,0.738,6,-7.284,0.244,0.0581,0,0.106,0.847,100,Money Ain't a Thang (feat. Jay-Z),Jermaine Dupri,63,254253,0
95,0.835,0.447,6,-14.901,0.22,0.154,0.00876,0.108,0.839,113.083,Doin' Our Own Dang,Jungle Brothers,51,258933,5
96,0.739,0.639,2,-6.959,0.358,0.000918,2.74E-05,0.352,0.323,91.121,"Triumph (feat. Ol' Dirty Bastard, Inspectah Deck, Method Man, Cappadonna, U-God, RZA, GZA, Masta Killa, Ghostface Killah & Raekwon)",Wu-Tang Clan,67,338186,8
97,0.614,0.752,7,-6.271,0.0652,0.00328,0,0.379,0.444,95.018,Summertime - Single Edit,DJ Jazzy Jeff & The Fresh Prince,46,237093,0
98,0.884,0.334,1,-18.943,0.228,0.0476,0.0588,0.107,0.571,98.315,Rebirth Of Slick (Cool Like Dat),Digable Planets,64,261266,0
99,0.826,0.698,11,-4.004,0.15,0.0177,0.00761,0.314,0.604,100.108,Tres Delinquentes - Radio Version,Delinquent Habits,62,255693,5
